페이지,공종,종별,종별_상세1,시험종목_1,시험종목_2,시험종목_3,시험방법,시험빈도,비고
1,토공사 및 기초공사,성토용 흙,,함수비,,,KS F 2306,"·토취장마다
·재질변화시마다",
1,토공사 및 기초공사,성토용 흙,,입도,,,KS F 2302,"·토취장마다
·재질변화시마다",
1,토공사 및 기초공사,성토용 흙,,세립토 비율,,,KS F 2309,"·토취장마다
·재질변화시마다",
1,토공사 및 기초공사,성토용 흙,,밀 도,,,KS F 2308,"·토취장마다
·재질변화시마다",
1,토공사 및 기초공사,성토용 흙,,액성한계·소성한계,,,KS F 2303,"·토취장마다
·재질변화시마다",
1,토공사 및 기초공사,성토용 흙,,노상토지지력비(CBR),,,KS F 2320,"·토취장마다
·재질변화시마다",
1,토공사 및 기초공사,성토용 흙,,다짐,,,KS F 2312,"·토취장마다
·재질변화시마다",
1,토공사 및 기초공사,성토용 흙,,유기물 함량,,,KS F 2104,·필요시,
1,토공사 및 기초공사,성토용 흙,,토질조사,,,보링 등,·필요시,
1,토공사 및 기초공사,성토용 흙,,투수,,,KS F 2322,"·토취장마다
·재질변화시마다","·흙댐, 용수로,
배수로용 일
반성토 및 표
토
·공종에 따라"
1,토공사 및 기초공사,성토용 흙,,직접전단,,,KS F 2343,"·토취장마다
·재질변화시마다",
1,토공사 및 기초공사,성토용 흙,,3축압축,,,KS F 2346,"·토취장마다
·재질변화시마다",
1,토공사 및 기초공사,터파기,,토질조사,,,보링 등,·필요시,
1,토공사 및 기초공사,터파기,,지지력,확대기초,,KS F 2444,·필요시,
1,토공사 및 기초공사,터파기,,,"말뚝
기초",정재하,KS F 2445,"·전체 말뚝 수량의 1% 이
상(말뚝이 100개 미만인
경우에도 최소 1개)을 실시
·교량하부구조는 말뚝 250
개당 1회 또는 구조물별로
1회 실시
·건축구조기준을 따른 경
우는 전체 말뚝개수의
1% 이상(말뚝이 100개
미만인 경우에도 최소 1개)
실시하거나 구조물별로 1회
실시","동재하시험을
선 택적으 로
적용"
1,토공사 및 기초공사,터파기,,,,동재하,KS F 2591,"·전체 말뚝 개수의 1 %
이상(말뚝이 100개 미만
인 경우에도 최소 1개)",
1,토공사 및 기초공사,터파기,,,,"양방향
재하",KS F 7003,·공사시방서에 따름,
1,토공사 및 기초공사,"지반조사
(연약지반등)",,토질조사,,,보링 등,·1개지구마다 3개소 이상,
1,토공사 및 기초공사,"지반조사
(연약지반등)",,함수비,,,KS F 2306,·1개지구마다 3개소 이상,
1,토공사 및 기초공사,"지반조사
(연약지반등)",,입도,,,KS F 2302,·1개지구마다 3개소 이상,
1,토공사 및 기초공사,"지반조사
(연약지반등)",,밀 도,,,KS F 2308,·1개지구마다 3개소 이상,
1,토공사 및 기초공사,"지반조사
(연약지반등)",,액성한계·소성한계,,,KS F 2303,·1개지구마다 3개소 이상,
2,토공사 및 기초공사,,,세립토 비율,,,KS F 2309,,
2,토공사 및 기초공사,,,흙의 압밀시험,,,KS F 2316,·보링개소마다,
2,토공사 및 기초공사,,,1축 압축강도,,,KS F 2314,·보링개소마다,
2,토공사 및 기초공사,,,3축 압축시험,,,KS F 2346,·보링개소마다,
2,토공사 및 기초공사,,,표준관입시험,,,KS F 2307,·보링개소마다,
2,토공사 및 기초공사,,,흙의 투수시험,,,KS F 2322,·필요시,
2,토공사 및 기초공사,,,"점성토의 현장베인전단
시험",,,KS F 2342,·필요시,
2,토공사 및 기초공사,,,"압밀배수조건하의 직접
전단시험",,,KS F 2343,·필요시,
2,토공사 및 기초공사,,,동적콘관입시험,,,KS F 2592,·필요시,
2,토공사 및 기초공사,,,유기물 함량,,,KS F 2104,·필요시,
2,토공사 및 기초공사,"되메우기 및 구조물
뒷채움",,다짐,,,KS F 2312,·재질 변화시마다,
2,토공사 및 기초공사,"되메우기 및 구조물
뒷채움",,현장밀도,,,KS F 2311,"·독립구조물 : 개소별 3층
마다
·연속구조물 : 3층마다,
50미터마다
·관로매설물 : 3층마다,
100미터마다",
2,토공사 및 기초공사,"되메우기 및 구조물
뒷채움",,평판재하,,,KS F 2310,·현장밀도시험불가능시,
2,토공사 및 기초공사,"되메우기 및 구조물
뒷채움",,입도,,,KS F 2302,·토질변화시마다,
2,토공사 및 기초공사,"되메우기 및 구조물
뒷채움",,함수비,,,"KS F 2306
또는 급속함수량
측정방법",·현장밀도시험의 빈도,
2,토공사 및 기초공사,"말
뚝","콘크리트 널말뚝
(KS F 4208)",겉모양 및 모양,,,KS F 4208,"·제조회사마다
·1,000개 마다",
2,토공사 및 기초공사,"말
뚝",,치수,,,,"·제조회사마다
·1,000개 마다",
2,토공사 및 기초공사,"말
뚝",,굽힘강도,,,,"·제조회사마다
·1,000개 마다",
2,토공사 및 기초공사,"말
뚝","원심력
콘크리트 말뚝
(KS F 4301)",겉모양 및 모양,,,KS F 4301,"·제조회사마다
·200개 마다",
2,토공사 및 기초공사,"말
뚝",,치수,,,,"·제조회사마다
·200개 마다",
2,토공사 및 기초공사,"말
뚝",,몸체 및 이음부의 휨강도,,,,"·제조회사마다
·200개 마다",
2,토공사 및 기초공사,"말
뚝",,철근의 배치,,,,"·제조회사마다
·200개 마다",
2,토공사 및 기초공사,"말
뚝","프리텐션 방식
원심력PC 말뚝
(KS F 4303)",겉모양 및 모양,,,KS F 4303,"·제조회사마다
·200개 마다",
2,토공사 및 기초공사,"말
뚝",,PC강재 및 철근배치,,,,"·제조회사마다
·200개 마다",
2,토공사 및 기초공사,"말
뚝","프리텐션방식
원심력고강도
콘크리트말뚝
(KS F 4306)",겉모양 및 모양,,,KS F 4306,"·제조회사마다
·200개 마다",
2,토공사 및 기초공사,"말
뚝",,몸체의 축력 휨강도,,,,"·제조회사마다
·200개 마다",
2,토공사 및 기초공사,"말
뚝",,몸체의 전단 강도,,,,"·제조회사마다
·200개 마다",
2,토공사 및 기초공사,"말
뚝",,PC강재 및 철근 배치,,,,"·제조회사마다
·200개 마다",
